"waterbodyID","waterbodyName","state","town","WBID","otherWaterbodyID","longitudeWB","latitudeWB","locationSourceWB","commentWB"
"CRWA_MA70-02","Charles River","MA",,,"MA70-02 ",-71.07689,42.359291,"GoogleEarth","No WBID; this is the charles river"
"CRWA_MA72-08","Charles River","MA",,,"MA72-08",-71.07689,42.359291,"GoogleEarth","No WBID; this is the charles river"
"CTDEEP_14514","Porter Pond","CT",,6139688,"14514",-71.8216728862164,41.6470864313679,"MRB1_WBIDLakes",
"CTDEEP_15675","Lake Beseck","CT",,7699880,"15675",-72.7319099492782,41.5147113221679,"MRB1_WBIDLakes",
"CTDEEP_15924-M","Mashamoquet","CT",,,"15924-M",-71.979289,41.857677,"GoogleEarth","no WBID; lake exists but not in NHDplus"
"CTDEEP_18475","Lower Bolton Lake","CT",,6161343,"18475",-72.4322461379715,41.8014693742559,"MRB1_WBIDLakes",
"CTDEEP_18713","Housatonic River (Kettletown)","CT",,7717850,"18713",-73.2193820755805,41.4192371947158,"MRB1_WBIDLakes",
"CTDEEP_18714","Pattaconk Reservoir","CT",,7701636,"18714",-72.5292983587944,41.4117329212845,"MRB1_WBIDLakes",
"CTDEEP_18715","Mount Tom Pond","CT",,7711464,"18715",-73.2778139083878,41.700568477155,"MRB1_WBIDLakes",
"CTDEEP_18716","Lake Waramaug","CT",,7711450,"18716",-73.3623114953851,41.6980064106002,"MRB1_WBIDLakes",
"CTDEEP_18717","Squantz Pond","CT",,7711770,"18717",-73.480789499386,41.5207523286341,"MRB1_WBIDLakes",
"CTDEEP_18718","Gardner Lake","CT",,6168152,"18718",-72.2265408610005,41.5122820095463,"MRB1_WBIDLakes",
"CTDEEP_18742","Tyler Lake","CT",,7711236,"18742",-73.2610574766318,41.8373512469455,"MRB1_WBIDLakes",
"MIDAS_1018","Conroy","ME",,816819,"1018",-67.8764977671919,46.2892629157066,"MRB1_WBIDLakes",
"MIDAS_1776","Echo","ME",,803405,"1776",-68.0059099288978,46.6176794013875,"MRB1_WBIDLakes",
"MIDAS_1808","Fischer","ME",,,"1808",-67.809076,46.711588,"GoogleEarth","no WBID; lake exists but not in NHDplus"
"MIDAS_2264","Sebasticook","ME",,3319884,"2264",-69.2421165963581,44.8591725252684,"MRB1_WBIDLakes",
"MIDAS_3734","Highland L","ME",,6719937,"3734",-70.3572611007831,43.7723879019878,"MRB1_WBIDLakes",
"MIDAS_3796","Sabattus","ME",,6711483,"3796",-70.0983836666911,44.1467062011519,"MRB1_WBIDLakes",
"MIDAS_3814","Cochnewagon","ME",,3326100,"3814",-70.0449148297862,44.2303948904217,"MRB1_WBIDLakes",
"MIDAS_3824","Pocasset","ME",,6711311,"3824",-70.0831848531358,44.3280323360858,"MRB1_WBIDLakes",
"MIDAS_3832","Wilson","ME",,3325996,"3832",-70.0387015505015,44.3044337354608,"MRB1_WBIDLakes",
"MIDAS_3836","Androscoggin","ME",,6711311,"3836",-70.0831848531358,44.3280323360858,"MRB1_WBIDLakes",
"MIDAS_3922","Great East","ME",,9312435,"3922",-70.9725166899223,43.5818371920874,"MRB1_WBIDLakes",
"MIDAS_4406","Georges P","ME",,2679118,"4406",-68.2404154809936,44.6133346985596,"MRB1_WBIDLakes",
"MIDAS_5172","Unity Pond","ME",,3319994,"5172",-69.3299453908072,44.6460905742267,"MRB1_WBIDLakes",
"MIDAS_5176","Lovejoy","ME",,3320078,"5176",-69.4700637853662,44.519561269553,"MRB1_WBIDLakes",
"MIDAS_5186","Parker","ME",,6711205,"5186",-70.0289278221189,44.4911503726202,"MRB1_WBIDLakes",
"MIDAS_5200","Crowell","ME",,3322984,"5200",-70.0394434171785,44.5898882388442,"MRB1_WBIDLakes",
"MIDAS_5202","Locke","ME",,3322990,"5202",-70.1184281363038,44.5791148746203,"MRB1_WBIDLakes",
"MIDAS_5236","Cobbosseecontee","ME",,3325032,"5236",-69.9243161929092,44.2697653388011,"MRB1_WBIDLakes",
"MIDAS_5240","Woodbury Pond","ME",,3324122,"5240",-69.9493457067954,44.1995923151464,"MRB1_WBIDLakes",
"MIDAS_5274","Great","ME",,6710627,"5274",-69.8438062321068,44.5374101526973,"MRB1_WBIDLakes",
"MIDAS_5307","Torsey","ME",,3323716,"5307",-69.9853335387259,44.4227325585506,"MRB1_WBIDLakes",
"MIDAS_5344","North","ME",,3320002,"5344",-69.8436791733838,44.623758209731,"MRB1_WBIDLakes",
"MIDAS_5349","East","ME",,3320004,"5349",-69.7845474931176,44.6108144486256,"MRB1_WBIDLakes",
"MIDAS_5352","Salmon","ME",,3320048,"5352",-69.7754971072431,44.5395331514522,"MRB1_WBIDLakes",
"MIDAS_5382","Clary L","ME",,5202298,"5382",-69.3599552364069,44.129514680046,"MRB1_WBIDLakes",
"MIDAS_5408","Webber pond","ME",,3323750,"5408",-69.6546163558328,44.4098614341011,"MRB1_WBIDLakes",
"MIDAS_5416","Threemile","ME",,3323864,"5416",-69.6052541401571,44.3666074710048,"MRB1_WBIDLakes",
"MIDAS_5424","Threecornered","ME",,3323908,"5424",-69.6431350563681,44.3465259899159,"MRB1_WBIDLakes",
"MIDAS_5444","Long Pond","ME",,5202084,"5444",-69.5155142830769,44.290042685109,"MRB1_WBIDLakes",
"MIDAS_5448","China","ME",,3323678,"5448",-69.5591854135979,44.4377670730206,"MRB1_WBIDLakes",
"MIDAS_5458","Pattee","ME",,3320068,"5458",-69.5608275968277,44.534384503493,"MRB1_WBIDLakes",
"MIDAS_5664","Lovejoy Pond","ME",,6711271,"5664",-70.0263342773485,44.3938814646951,"MRB1_WBIDLakes",
"MIDAS_5814","Echo","ME",,6711229,"5814",-70.0247024243728,44.431261586205,"MRB1_WBIDLakes",
"MIDAS_98","Narrows Pond","ME",,3323944,"98",-69.9424884373374,44.3071077178076,"MRB1_WBIDLakes",
"NHDES_1","Sunapee Lake","NH",,9328420,"NHDES_1",-72.0540945009655,43.3808841225838,"MRB1_WBIDLakes",
"NHDES_10","Lower Danforth Pond","NH",,9315181,"NHDES_10",-71.1043361229325,43.8247353290546,"MRB1_WBIDLakes",
"NHDES_11","Ossipee Lake","NH",,9315189,"NHDES_11",-71.1315322912361,43.7931016272397,"MRB1_WBIDLakes",
"NHDES_12","Bear Camp Pond","NH",,9315185,"NHDES_12",-71.3704669545215,43.8163208346312,"MRB1_WBIDLakes",
"NHDES_13","RockyboundPond","NH",,9328402,"NHDES_13",-72.1444761316885,43.4469024408127,"MRB1_WBIDLakes",
"NHDES_14","Lower Beech Pond","NH",,9315253,"NHDES_14",-71.20705024873,43.6707183112268,"MRB1_WBIDLakes",
"NHDES_15","Gardner Lake","NH",,4594887,"NHDES_15",-72.0098976265899,44.1635515637271,"MRB1_WBIDLakes",
"NHDES_16","Little Sunapee Lake","NH",,9328412,"NHDES_16",-72.0188684381619,43.4326934532705,"MRB1_WBIDLakes",
"NHDES_17","Silver Lake","NH",,6777259,"NHDES_17",-72.1398274329216,42.9588409370414,"MRB1_WBIDLakes",
"NHDES_18","Armington lake","NH",,9326262,"NHDES_18",-71.9685068470106,43.958312766337,"MRB1_WBIDLakes",
"NHDES_19","Tarleton lake","NH",,9326256,"NHDES_19",-71.9630351406227,43.9757116448214,"MRB1_WBIDLakes",
"NHDES_2","Halfmoon Lake","NH",,6739046,"NHDES_2",-71.2287779239772,43.3918131222859,"MRB1_WBIDLakes",
"NHDES_20","Canaan Street lake","NH",,9326568,"NHDES_20",-72.0346697661092,43.6677967932207,"MRB1_WBIDLakes",
"NHDES_21","Eastman Pond","NH",,9326688,"NHDES_21",-72.1175997862057,43.5268456749971,"MRB1_WBIDLakes",
"NHDES_22","Ayers Lake","NH",,5846928,"NHDES_22",-71.0449740898089,43.2544294511032,"MRB1_WBIDLakes",
"NHDES_23","Big Island Pond","NH",,6743056,"NHDES_23",-71.2084072146268,42.8692356246468,"MRB1_WBIDLakes",
"NHDES_24","Lees Pond","NH",,6738100,"NHDES_24",-71.3986379076713,43.7401155971862,"MRB1_WBIDLakes",
"NHDES_25","Mascoma Lake","NH",,9326606,"NHDES_25",-72.1469865720577,43.6271298343609,"MRB1_WBIDLakes",
"NHDES_26","Thorndike Pond","NH",,6764472,"NHDES_26",-72.055394332422,42.857032835359,"MRB1_WBIDLakes",
"NHDES_27","Wicwas Lake","NH",,6738192,"NHDES_27",-71.5521792568534,43.6146799207773,"MRB1_WBIDLakes",
"NHDES_28","Lake Skatutakee","NH",,6764368,"NHDES_28",-72.0759226447506,42.9377485204787,"MRB1_WBIDLakes",
"NHDES_29","Dublin Pond","NH",,6777319,"NHDES_29",-72.0816160174665,42.9058032952218,"MRB1_WBIDLakes",
"NHDES_3","Messer Pond","NH",,9328120,"NHDES_3",-72.0056760907713,43.4006673912037,"MRB1_WBIDLakes",
"NHDES_30","Sand Pond","NH",,6776101,"NHDES_30",-72.1666021801904,43.1802547165538,"MRB1_WBIDLakes",
"NHDES_31","Clement Pond","NH",,6760634,"NHDES_31",-71.767653709137,43.2168134209138,"MRB1_WBIDLakes",
"NHDES_32","Sebbins Pond ","NH",,6742962,"NHDES_32",-71.478594536131,42.9280795594891,"MRB1_WBIDLakes",
"NHDES_33","Granite Lake","NH",,6776219,"NHDES_33",-72.1417218886709,43.021590407417,"MRB1_WBIDLakes",
"NHDES_34","Lake Kanesatka","NH",,6738112,"NHDES_34",-71.4518683294481,43.7241079376038,"MRB1_WBIDLakes",
"NHDES_35","Nubanusit Lake","NH",,22287529,"NHDES_35",-72.0614799882044,42.9869701780998,"MRB1_WBIDLakes",
"NHDES_36","Hunkins Pond","NH",,6738242,"NHDES_36",-71.5586830350635,43.5054992498918,"MRB1_WBIDLakes",
"NHDES_37","Showell Pond","NH",,5849752,"NHDES_37",-71.1760768040533,42.9080709463198,"MRB1_WBIDLakes",
"NHDES_38","Tower Hill Pond","NH",,6739518,"NHDES_38",-71.3723397777838,43.0395977233123,"MRB1_WBIDLakes",
"NHDES_39","Webster Lake","NH",,6738922,"NHDES_39",-71.6864787518514,43.4702913226517,"MRB1_WBIDLakes",
"NHDES_4","Robinson Pond","NH",,6743164,"NHDES_4",-71.3868512621789,42.7985213723993,"MRB1_WBIDLakes",
"NHDES_5","Otternick Pond","NH",,6743208,"NHDES_5",-71.4236985392051,42.7716064962829,"MRB1_WBIDLakes",
"NHDES_6","Long Pond","NH",,6743322,"NHDES_6",-71.3703153781278,42.6939420641592,"MRB1_WBIDLakes",
"NHDES_7","French Pond","NH",,6760662,"NHDES_7",-71.7756045433457,43.1919802481287,"MRB1_WBIDLakes",
"NHDES_8","Phillips Pond","NH",,5849710,"NHDES_8",-71.1898096948799,42.9186260369059,"MRB1_WBIDLakes",
"NHDES_9","Silver Lake","NH",,6743222,"NHDES_9",-71.5983181410369,42.7572240429432,"MRB1_WBIDLakes",
"RIWW_WW05","Blackmore Pond","RI",,6127339,"WW05",-71.4468603070899,41.7746431304433,"MRB1_WBIDLakes",
"RIWW_WW183","Upper Melville Pond","RI",,6127747,"WW183",-71.2730582442246,41.5834603824301,"MRB1_WBIDLakes",
"RIWW_WW200","Chapman Pond","RI",,6140628,"WW200",-71.795000976942,41.3801057016217,"MRB1_WBIDLakes",
"RIWW_WW209","Asa Pond","RI",,6140538,"WW209",-71.5132122549607,41.4590580881006,"MRB1_WBIDLakes",
"RIWW_WW30","Pasquisett Pond","RI",,6140576,"WW30",-71.6312350101693,41.4260573917698,"MRB1_WBIDLakes",
"RIWW_WW36","Randall Pond","RI",,6127295,"WW36",-71.4689433784616,41.7886577006624,"MRB1_WBIDLakes",
"RIWW_WW37","Roger Williams Park Pond","RI",,6127315,"WW37",-71.4106249194572,41.7795028419571,"MRB1_WBIDLakes",
"RIWW_WW59","Warwick Pond","RI",,6127455,"WW59",-71.4129483911642,41.7239423809453,"MRB1_WBIDLakes",
"RIWW_WW68","Yawgoo Pond","RI",,6139878,"WW68",-71.5732197922739,41.5112317095919,"MRB1_WBIDLakes",
"UNH_CFB_WBID_5843810","Williand","NH",,5843810,,-70.8888792344501,43.2285158674454,"MRB1_WBIDLakes",
"UNH_CFB_WBID_5846990","Nippo","NH",,5846990,,-71.0826318959762,43.221730217659,"MRB1_WBIDLakes",
"UNH_CFB_WBID_6718859","Highland Lake","ME",,6718859,,-70.741196618301,44.0818835712465,"MRB1_WBIDLakes",
"UNH_CFB_WBID_6738198","Wentworth","NH",,6738198,,-71.1569032755146,43.5969327892994,"MRB1_WBIDLakes",
"UNH_CFB_WBID_6738206","Crescent Lake","NH",,6738206,,-71.1955487948683,43.5886783228599,"MRB1_WBIDLakes",
"UNH_CFB_WBID_6742526","Attitash","NH",,6742526,,-70.9818869348214,42.8495050762966,"MRB1_WBIDLakes",
"UNH_CFB_WBID_6743032","Baboosic","NH",,6743032,,-71.5781013043132,42.8851278770453,"MRB1_WBIDLakes",
"UNH_CFB_WBID_9312481","Lovell","NH",,9312481,,-71.0059779663141,43.5437546989907,"MRB1_WBIDLakes",
"UNH_CFB_WBID_9315143","Silver","NH",,9315143,,-71.1719371787707,43.8670675009587,"MRB1_WBIDLakes",
"UNH_CFB_WBID_9315263","Pine River Pond","NH",,9315263,,-71.0253015644013,43.6296293885655,"MRB1_WBIDLakes",
"VTDEC_WBID_22302965","Lake Champlain","VT",,22302965,"MA70-02",-73.3134670709827,44.5760657763667,"MRB1_WBIDLakes",
"VTDEC_WBID_22302965","Lake Champlain","VT",,22302965,,-73.3134670709827,44.5760657763667,"MRB1_WBIDLakes",
