Order,DES Station ID,DES Alias ID,Station Name,Town,Station Type,Latitude DecDeg,Longitude DecDeg,Description,Waterbody#,Sample Date,EPA Designation,Depth,Date Filtered sample brought EPA,Date Unfiltered sample brought EPA,Filtered-DES,Unfiltered-DES?
1,SUNSUN1D,SUNSUN200D,SUNAPEE LAKE-200 STN 1 DEEP SPOT,NEW LONDON,LAKE/POND,43.406083,-72.042600,200 STN 1 DEEP SPOT,1,7/22/2014,WL#1,3.0,13-Aug,13-Aug,Freezer,Freezer
2,SUNSUN220D,SUNSUN220D,SUNAPEE LAKE-220 DEEP SPOT,NEWBURY,LAKE/POND,43.361911,-72.055997,220.0,1,7/22/2014,WL#3,3.0,13-Aug,13-Aug,Freezer,Freezer
3,SUNSUN2D,SUNSUN210D,SUNAPEE LAKE-210 STN 2 DEEP SPOT,SUNAPEE,LAKE/POND,43.383600,-72.062700,210 STN 2 DEEP SPOT,1,7/22/2014,WL#2,3.0,13-Aug,13-Aug,Freezer,Freezer
4,SUNSUN3D,SUNSUN230D,SUNAPEE LAKE-230 STN 3 DEEP SPOT,NEWBURY,LAKE/POND,43.342778,-72.049400,230 STN 3 DEEP SPOT,1,7/22/2014,WL#4,3.0,13-Aug,13-Aug,Freezer,Freezer
5,SUNSUN1D,SUNSUN200D,SUNAPEE LAKE-200 STN 1 DEEP SPOT,NEW LONDON,LAKE/POND,43.406083,-72.042600,200 STN 1 DEEP SPOT,1,8/19/2014,WL#1,3.0,,?,,?
6,SUNSUN2D,SUNSUN210D,SUNAPEE LAKE-210 STN 2 DEEP SPOT,SUNAPEE,LAKE/POND,43.383600,-72.062700,210 STN 2 DEEP SPOT,1,8/19/2014,WL#2,3.0,,?,,?
7,SUNSUN220D,SUNSUN220D,SUNAPEE LAKE-220 DEEP SPOT,NEWBURY,LAKE/POND,43.361911,-72.055997,220.0,1,8/19/2014,WL#3,3.0,,?,,?
8,SUNSUN3D,SUNSUN230D,SUNAPEE LAKE-230 STN 3 DEEP SPOT,NEWBURY,LAKE/POND,43.342778,-72.049400,230 STN 3 DEEP SPOT,1,8/19/2014,WL#4,3.0,,?,,?
9,HALALTD,,HALFMOON LAKE-DEEP SPOT,ALTON,LAKE/POND,43.391083,-71.227694,DEEP SPOT,2,7/25/2014,WL#1,3.0,13-Aug,13-Aug,Freezer,Freezer
10,HALALTPUB,,HALFMOON LAKE-PUBLIC BEACH,BARNSTEAD,LAKE/POND,43.395250,-71.236681,PUBLIC BEACH,2,7/25/2014,SS#2,1.0,13-Aug,13-Aug,Freezer,Freezer
11,HALALTR,,HALFMOON LAKE-RUSTIC SHORES,ALTON,LAKE/POND,43.393325,-71.216344,RUSTIC SHORES,2,7/25/2014,SS#1,1.0,13-Aug,13-Aug,Freezer,Freezer
12,HALALTHWB,,HALFMOON POND-HOLLYWOOD BEACH,ALTON,LAKE/POND,43.389308,-71.217014,,2,7/25/2014,SS#3,1.0,13-Aug,13-Aug,Freezer,Freezer
13,HALALTD,,HALFMOON LAKE-DEEP SPOT,ALTON,LAKE/POND,43.391083,-71.227694,DEEP SPOT,2,8/22/2014,WL#1,3.0,10-Sep,10-Sep,Freezer,Freezer
14,MESNWLD,,MESSER POND-DEEP SPOT,NEW LONDON,LAKE/POND,43.400800,-72.009500,DEEP SPOT,3,7/26/2014,WL#1,3.0,20-Nov,,Came in Frozen,
15,BCHTWBHUDCR,8833005,ROBINSON POND TB-CENTER,HUDSON,LAKE/POND,42.799945,-71.381614,,4,7/31/2014,GRAB,0.0,13-Aug,13-Aug,Freezer,Freezer
16,OTTHUDBL,,OTTERNICK POND-BOAT LAUNCH,HUDSON,LAKE/POND,42.772744,-71.425831,IN LAKE STATION AT PUBLIC BOAT LAUNCH,5,7/31/2014,GRAB,0.0,13-Aug,13-Aug,Freezer,Freezer
17,LONPELNHD,,LONG POND-NH DEEP SPOT,PELHAM,LAKE/POND,42.698694,-71.367100,NEW HAMPSHIRE-DEEP SPOT,6,7/31/2014,WL#3,3.0,13-Aug,13-Aug,Freezer,Freezer
18,BCHTWBPELRT,,LONG POND-RIGHT,PELHAM,LAKE/POND,42.700861,-71.365111,Beach sample,6,8/8/2014,SS#1,1.0,13-Aug,13-Aug,Freezer,Freezer
19,FREHENCAMP,,FRENCH POND-CAMPGROUND SWIM AREA,HENNIKER,LAKE/POND,43.190000,-71.774900,IN-LAKE E.COLI SAMPLE IN THE MIDDLE OF THE CAMPGROUND SWIM AREA,7,8/1/2014,SS#2,1.0,13-Aug,13-Aug,Freezer,Freezer
20,FREHEND,,FRENCH POND-DEEP SPOT,HENNIKER,LAKE/POND,43.192722,-71.775972,DEEP SPOT,7,8/1/2014,WL#1,3.0,13-Aug,13-Aug,Freezer,Freezer
21,FREHENL,,FRENCH POND-LAUNCH BROOK,HENNIKER,RIVER/STREAM,43.194000,-71.775083,LAUNCH BROOK,7,8/1/2014,SS#1,1.0,13-Aug,13-Aug,Freezer,Freezer
22,,does not exist in EMD,FREHEND2,HENNIKER,LAKE/POND,43.192772,-71.774862,Within Lake Site 2,7,8/1/2014,WL#2,3.0,13-Aug,13-Aug,Freezer,Freezer
23,,does not exist in EMD,FREHEND3,HENNIKER,LAKE/POND,43.191035,-71.77705,Within Lake Site 3,7,8/1/2014,WL#3,3.0,13-Aug,13-Aug,Freezer,Freezer
24,BCHSELSDNRT,8857000,PHILLIPS POND SEELEY PARK-RIGHT,SANDOWN,LAKE/POND,42.923905,-71.187255,Beach sample,8,8/4/2014,GRAB,0.0,13-Aug,13-Aug,11/6/2014,11/6/2014
25,BCHSELSDNRT,8857000,PHILLIPS POND SEELEY PARK-RIGHT,SANDOWN,LAKE/POND,42.923905,-71.187255,Beach sample,8,8/8/2014,SS#1,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
26,PHISDND,,PHILLIPS POND-DEEP SPOT,SANDOWN,LAKE/POND,42.918884,-71.187874,DEEP SPOT,8,9/14/2014,WL#1,3.0,,,11/6/2014,11/6/2014
27,,does not exist in EMD,Phillips Pond WL#2,SANDOWN,LAKE/POND,42.914415,-71.190441,,8,9/14/2014,WL#2,3.0,,,11/6/2014,11/6/2014
28,,does not exist in EMD,Phillips Pond WL#3,SANDOWN,LAKE/POND,42.922492,-71.188273,,8,9/14/2014,WL#3,3.0,,,11/6/2014,11/6/2014
29,,does not exist in EMD,Phillips Pond SS#1,SANDOWN,LAKE/POND,42.923667,-71.187617,Beach sample,8,9/14/2014,SS#1,1.5,,,11/6/2014,11/6/2014
30,,does not exist in EMD,Phillips Pond SS#2,SANDOWN,LAKE/POND,42.923667,-71.187617,Beach sample,8,9/14/2014,SS#2,1.5,,,11/6/2014,11/6/2014
31,BCHSLSHLSLF,"8831005, 201-PS001",SILVER LAKE SP-LEFT,HOLLIS,LAKE/POND,42.760750,-71.595639,Beach sample,9,8/4/2014,GRAB,0.0,13-Aug,13-Aug,11/6/2014,11/6/2014
32,BCHSLSHLSRT,,SILVER LAKE SP-RIGHT,HOLLIS,LAKE/POND,42.760028,-71.597028,Beach sample,9,8/8/2014,SS#1,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
33,BCHSLSHLSLF,"8831005, 201-PS001",SILVER LAKE SP-LEFT,HOLLIS,LAKE/POND,42.760750,-71.595639,Beach sample,9,9/3/2014,GRAB,0.0,,,11/6/2014,11/6/2014
34,DANLFRED,,LOWER DANFORTH POND-DEEP SPOT,FREEDOM,LAKE/POND,43.820083,-71.1038,DEEP SPOT,10,8/5/2014,WL#1,3.0,13-Aug,13-Aug,Freezer,Freezer
35,,does not exist in EMD,Lower Danforth WL#2,FREEDOM,LAKE/POND,43.821694,-71.103917,,10,8/5/2014,WL#2,3.0,13-Aug,13-Aug,Freezer,Freezer
36,,does not exist in EMD,Lower Danforth WL#3,FREEDOM,LAKE/POND,43.828889,-71.103694,,10,8/5/2014,WL#3,3.0,13-Aug,13-Aug,Freezer,Freezer
37,DANLFRED,,LOWER DANFORTH POND-DEEP SPOT,FREEDOM,LAKE/POND,43.820083,-71.1038,DEEP SPOT,10,9/30/2014,WL#1,3.0,X,X,Freezer,Freezer
38,BROOSSD,,BROAD BAY-DEEP SPOT,FREEDOM,LAKE/POND,43.804067,-71.101078,DEEP SPOT,11,8/5/2014,WL#4,3.0,13-Aug,13-Aug,Freezer,Freezer
39,LEAOSSD,,LEAVITT BAY-DEEP SPOT,OSSIPEE,LAKE/POND,43.79682,-71.081038,DEEP SPOT,11,8/5/2014,WL#3,3.0,13-Aug,13-Aug,Freezer,Freezer
40,OBB01DL,,OSSIPEE LAKE-BERRY BAY-1 DEEP SPOT,FREEDOM,LAKE/POND,43.804833,-71.075167,DEEP SPOT,11,8/5/2014,WL#2,3.0,13-Aug,13-Aug,Freezer,Freezer
41,OSSOSSD,,OSSIPEE LAKE-DEEP SPOT,FREEDOM,LAKE/POND,43.7795,-71.1386,DEEP SPOT,11,8/5/2014,WL#1,3.0,13-Aug,13-Aug,Freezer,Freezer
42,BROOSSD,,BROAD BAY-DEEP SPOT,FREEDOM,LAKE/POND,43.804067,-71.101078,DEEP SPOT,11,10/1/2014,WL#4,3.0,20-Nov,X,Freezer,Freezer
43,LEAOSSD,,LEAVITT BAY-DEEP SPOT,OSSIPEE,LAKE/POND,43.79682,-71.081038,DEEP SPOT,11,10/1/2014,WL#3,3.0,20-Nov,X,Freezer,Freezer
44,OBB01DL,,OSSIPEE LAKE-BERRY BAY-1 DEEP SPOT,FREEDOM,LAKE/POND,43.804833,-71.075167,DEEP SPOT,11,10/1/2014,WL#2,3.0,20-Nov,X,Freezer,Freezer
45,OSSOSSD,,OSSIPEE LAKE-DEEP SPOT,FREEDOM,LAKE/POND,43.7795,-71.1386,DEEP SPOT,11,10/1/2014,WL#1,3.0,20-Nov,X,Freezer,Freezer
46,BEASWHBI,,BEARCAMP POND-BIG ISLAND SWIM,SANDWICH,LAKE/POND,43.81665,-71.369067,"BIG ROCK FACING SWIM AREA, NOT BEACH.  MANY PEOPLE SWIM HERE.  FACES BEARCAMP SWIM AREA.",12,8/6/2014,WL#2,3.0,13-Aug,13-Aug,11/6/2014,11/6/2014
47,BEASWHD,,BEARCAMP POND-DEEP SPOT,SANDWICH,LAKE/POND,43.814583,-71.3689,DEEP SPOT,12,8/6/2014,WL#1,3.0,13-Aug,13-Aug,11/6/2014,11/6/2014
48,BEASWHSWIM,,BEARCAMP POND-SWIM AREA,SANDWICH,LAKE/POND,43.813617,-71.376558,E.COLI ONLY STATION - STATION LOCATION NEEDS TO BE VERIFIED BY VOLUNTEER MONITORS,12,8/6/2014,SS#1,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
49,,does not exist in EMD,Bear camp WL#3,SANDWICH,LAKE/POND,43.814835,-71.373625,,12,8/6/2014,WL#3,3.0,13-Aug,13-Aug,11/6/2014,11/6/2014
50,,does not exist in EMD,Bear camp SS#2,SANDWICH,LAKE/POND,43.813147,-71.3712,,12,8/6/2014,SS#2,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
51,ROCCROD,,ROCKYBOUND POND-DEEP SPOT,CROYDON,LAKE/POND,43.446417,-72.145056,DEEP SPOT,13,8/7/2014,WL#1,3.0,?,?,,?
52,Rockybound SS#1,,,CROYDON,LAKE/POND,,,,13,8/7/2014,SS#1,1.0,?,?,,?
53,Rockybound SS#2,,,CROYDON,LAKE/POND,,,,13,8/7/2014,SS#2,1.0,?,?,,?
54,BEELTUFD,,LOWER BEECH POND-DEEP SPOT,TUFTONBORO,LAKE/POND,43.672189,-71.207289,DEEP SPOT,14,8/11/2014,WL#1,3.0,13-Aug,13-Aug,11/6/2014,11/6/2014
55,,does not exist in EMD,Lower Beech Inlet SS#1,TUFTONBORO,LAKE/POND,43.677122,-71.205826,Beach sample,14,8/11/2014,SS#1,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
56,,does not exist in EMD,LowerBeech Outlet SS#2,TUFTONBORO,LAKE/POND,43.663277,-71.205311,Beach sample,14,8/11/2014,SS#2,1.0,13-Aug,13-Aug,11/6/2014,11/6/2014
57,Gardner Lake SS#1,,,BATH,LAKE/POND,44.1638,-72.0106,Beach sample,15,8/11/2014,SS#1,1.0,?,,,?
58,Gardner Lake SS#2,,,BATH,LAKE/POND,44.16327,-72.007627,Beach sample,15,8/11/2014,SS#2,1.0,?,,,?
59,GARBATD,,GARDNER LAKE-DEEP SPOT,BATH,LAKE/POND,44.1634,-72.009,DEEP SPOT,15,8/11/2014,WL#1,3.0,?,,,?
60,SUNLNWLD,,LITTLE SUNAPEE LAKE-DEEP SPOT,NEW LONDON,LAKE/POND,43.433083,-72.0118,DEEP SPOT,16,8/12/2014,WL#1,3.0,?,,,?
61,Little Sunapee SS#1,,,NEW LONDON,LAKE/POND,43.435067,-72.019467,Beach sample,16,8/12/2014,SS#1,1.0,?,,,?
62,Little Sunapee WL#2,,,NEW LONDON,LAKE/POND,43.435,-72.014417,,16,8/12/2014,WL#2,3.0,?,,,?
63,Little Sunapee WL#3,,,NEW LONDON,LAKE/POND,43.4319,-72.022417,,16,8/12/2014,WL#3,3.0,?,,,?
64,SILHARD,,SILVER LAKE- DEEP SPOT,HARRISVILLE,LAKE/POND,42.961194,-72.14,DEEP SPOT,17,8/14/2014,WL#1,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
65,SILHARO,,SILVER LAKE-OUTLET IN STREAM,HARRISVILLE,LAKE/POND,42.949389,-72.1328,Beach sample,17,8/14/2014,SS#2,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
66,SILHARSB1,,SILVER LAKE-SANDY BCH INLET 1,HARRISVILLE,LAKE/POND,42.972111,-72.138703,Beach sample,17,8/14/2014,SS#1,1.0,10-Sep,10-Sep,11/5/2014,11/5/2014
67,,does not exist in EMD,Silver Lake WL#2,HARRISVILLE,LAKE/POND,42.971089,-72.139535,,17,8/14/2014,WL#2,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
68,,does not exist in EMD,Silver Lake WL#3,HARRISVILLE,LAKE/POND,42.951554,-72.13563,,17,8/14/2014,WL#3,3.0,10-Sep,10-Sep,11/5/2014,11/5/2014
