Order,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,Latitude,Longitude,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,Phycocyanin_mg/l_Beagle_Fresh_Unfiltered,Chlorophyll_mg/l_Beagle_Fresh_Unfiltered,Phycocyanin_RFU_Turner_Fresh_Unfiltered,Chlorophyll_RFU_Turner_Fresh_Unfiltered,Phycocyanin_mg/l_Beagle_Fresh_Filtered,Chlorophyll_mg/l_Beagle_Fresh_Filtered,Phycocyanin_RFU_Turner_Fresh_Filtered,Chlorophyll_RFU_Turner_Fresh_Filtered,Phycocyanin_mg/l_Beagle_Frozen_Unfiltered,Chlorophyll_mg/l_Beagle_Frozen_Unfiltered,Phycocyanin_RFU_Turner_Frozen_Unfiltered,Chlorophyll_RFU_Turner_Frozen_Unfiltered,Phycocyanin_mg/l_Beagle_Frozen_Filtered,Chlorophyll_mg/l_Beagle_Frozen_Filtered,Phycocyanin_RFU_Turner_Frozen_Filtered,Chlorophyll_RFU_Turner_Frozen_Filtered
1,SonyaCarlson,NHDES,SUNSUN1D,SUNAPEE LAKE,CT,SUNAPEE LAKE-200 STN 1 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL1,,3,43.406083,-72.0426,,,,,,,,,,,,,,,,FALSE,,0.1,0.05,0.193,3.013,0.1,0,0.064,-0.064,,,,,,,,
2,SonyaCarlson,NHDES,SUNSUN220D,SUNAPEE LAKE,CT,SUNAPEE LAKE-220 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL3,,3,43.361911,-72.055997,,,,,,,,,,,,,,,,TRUE,Order 2 & 3 reversed,1.5,0,0.124,1.276,0.1,0,0.028,-1.444,,,,,,,,
3,SonyaCarlson,NHDES,SUNSUN2D,SUNAPEE LAKE,CT,SUNAPEE LAKE-210 STN 2 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL2,,3,43.3836,-72.0627,,,,,,,,,,,,,,,,TRUE,Order 2 & 3 reversed,0.1,0,0.192,1.954,2,0,0.038,-1.107,,,,,,,,
4,SonyaCarlson,NHDES,SUNSUN3D,SUNAPEE LAKE,CT,SUNAPEE LAKE-230 STN 3 DEEP SPOT,2014,7,22,,"Hazy, calm, hot",WL4,,3,43.342778,-72.0494,,,,,,,,,,,,,,,,FALSE,,0.1,0.01,0.077,0.751,0.1,0,0.01,-1.665,,,,,,,,
5,SonyaCarlson,NHDES,SUNSUN1D,SUNAPEE LAKE,CT,SUNAPEE LAKE-200 STN 1 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL1,,3,43.406083,-72.0426,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
6,SonyaCarlson,NHDES,SUNSUN2D,SUNAPEE LAKE,CT,SUNAPEE LAKE-210 STN 2 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL2,,3,43.3836,-72.0627,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
7,SonyaCarlson,NHDES,SUNSUN220D,SUNAPEE LAKE,CT,SUNAPEE LAKE-220 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL3,,3,43.361911,-72.055997,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
8,SonyaCarlson,NHDES,SUNSUN3D,SUNAPEE LAKE,CT,SUNAPEE LAKE-230 STN 3 DEEP SPOT,2014,8,19,,"Clear, breezy, hot",WL4,,3,43.342778,-72.0494,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
9,SonyaCarlson,NHDES,HALALTD,HALFMOON LAKE,CT,HALFMOON LAKE-DEEP SPOT,2014,7,25,,"Clear, calm, cool",WL1,,3,43.391083,-71.227694,,,,,,,,,,,,,,,,FALSE,,1,0.28,0.269,6.508,0.1,0.13,0.106,0.39,,,,,,,,
10,SonyaCarlson,NHDES,HALALTPUB,HALFMOON LAKE,CT,HALFMOON LAKE-PUBLIC BEACH,2014,7,25,,"Clear, calm, cool",SS2,,1,43.39525,-71.236681,,,,,,,,,,,,,,,,FALSE,,0.1,0.23,0.218,7.379,0.1,0.13,0.018,-0.009,,,,,,,,
11,SonyaCarlson,NHDES,HALALTR,HALFMOON LAKE,CT,HALFMOON LAKE-RUSTIC SHORES,2014,7,25,,"Clear, calm, cool",SS1,,1,43.393325,-71.216344,,,,,,,,,,,,,,,,FALSE,,0.1,0.23,0.227,6.04,0.1,0.13,0.027,0.342,,,,,,,,
12,SonyaCarlson,NHDES,HALALTHWB,HALFMOON LAKE,CT,HALFMOON POND-HOLLYWOOD BEACH,2014,7,25,,"Clear, calm, cool",SS3,,1,43.389308,-71.217014,,,,,,,,,,,,,,,,FALSE,,0.55,0.35,0.239,5.506,0.1,0.1,0.13,1.991,,,,,,,,
13,SonyaCarlson,NHDES,HALALTD,HALFMOON LAKE,CT,HALFMOON LAKE-DEEP SPOT,2014,8,22,,"Cloudy, breezy, cool",WL1,,3,43.391083,-71.227694,,,,,,,,,,,,,,,,FALSE,,3.5,0.55,0.19,8.483,2,0.31,0.035,1.722,,,,,,,,
14,SonyaCarlson,NHDES,MESNWLD,MESSER POND,CT,MESSER POND-DEEP SPOT,2014,7,26,,,WL1,,3,43.4008,-72.0095,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
15,SonyaCarlson,NHDES,BCHTWBHUDCR,ROBINSON POND,CT,ROBINSON POND TB-CENTER,2014,7,31,,,Other,Grab,0,42.799945,-71.381614,,,,,,,,,,,,,,,,FALSE,,20.5,1.32,4.715,20.43,1,0.41,0.234,7.711,,,,,,,,
16,SonyaCarlson,NHDES,OTTHUDBL,OTTERNICK POND,CT,OTTERNICK POND-BOAT LAUNCH,2014,7,31,,,Other,Grab,0,42.772744,-71.425831,,,,,,,,,,,,,,,,FALSE,,863.87,8.67,102.5,164.6,48,1.84,8.415,19.63,,,,,,,,
17,SonyaCarlson,NHDES,LONPELNHD,LONG POND,CT,LONG POND-NH DEEP SPOT,2014,7,31,,"Hazy, breezy, warm",WL3,,3,42.698694,-71.3671,,,,,,,,,,,,,,,,FALSE,,5,1.58,1.64,40.19,0.1,0.1,0.312,3.419,,,,,,,,
18,SonyaCarlson,NHDES,BCHTWBPELRT,LONG POND,CT,LONG POND-RIGHT,2014,8,8,,"Sunny, calm, hot",SS1,,1,42.700861,-71.365111,,,,,,,,,,,,,,,,FALSE,,8.5,2.17,2.328,96.15,1.5,0.23,0.178,3.399,,,,,,,,
19,SonyaCarlson,NHDES,FREHENCAMP,FRENCH POND,CT,FRENCH POND-CAMPGROUND SWIM AREA,2014,8,1,,"Hazy, breezy, warm",SS2,,1,43.19,-71.7749,,,,,,,,,,,,,,,,FALSE,,2.5,0.95,0.594,23.04,0.1,1.08,0.065,20.87,,,,,,,,
20,SonyaCarlson,NHDES,FREHEND,FRENCH POND,CT,FRENCH POND-DEEP SPOT,2014,8,1,,"Hazy, breezy, warm",WL1,,3,43.192722,-71.775972,,,,,,,,,,,,,,,,FALSE,,2,1.32,0.638,31.33,0.1,0.91,0,20.08,,,,,,,,
21,SonyaCarlson,NHDES,FREHENL,FRENCH POND,CT,FRENCH POND-LAUNCH BROOK,2014,8,1,,"Hazy, breezy, warm",SS1,,1,43.194,-71.775083,,,,,,,,,,,,,,,,FALSE,,2,1.31,0.548,28.59,2,1.01,0,24.39,,,,,,,,
22,SonyaCarlson,NHDES,FREHEND2,FRENCH POND,CT,FREHEND2,2014,8,1,,"Hazy, breezy, warm",WL2,,3,43.192772,-71.774862,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,3.5,1.13,0.514,29.15,0.1,0.91,0.159,21.55,,,,,,,,
23,SonyaCarlson,NHDES,FREHEND3,FRENCH POND,CT,FREHEND3,2014,8,1,,"Hazy, breezy, warm",WL3,,3,43.191035,-71.77705,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,0.1,1.04,0.497,21.55,0.1,0.65,0,14.48,,,,,,,,
24,SonyaCarlson,NHDES,BCHSELSDNRT,PHILLIPS POND,CT,PHILLIPS POND SEELEY PARK-RIGHT,2014,8,4,,,Other,Grab,0,42.923905,-71.187255,,,,,,,,,,,,,,,,FALSE,,1797.63,13.11,236.4,278.4,41,1.32,3.294,9.093,,,631.5,361.5,,,1.66,12.64
25,SonyaCarlson,NHDES,BCHSELSDNRT,PHILLIPS POND,CT,PHILLIPS POND SEELEY PARK-RIGHT,2014,8,8,,"Sunny, calm, hot",SS1,,1,42.923905,-71.187255,,,,,,,,,,,,,,,,FALSE,,5,1.14,0.332,9.951,1.5,1.02,0.033,3.88,,,0.415,6.38,,,1.331,6.234
26,SonyaCarlson,NHDES,PHISDND,PHILLIPS POND,CT,PHILLIPS POND-DEEP SPOT,2014,9,14,,"Clear, breezy, cool",WL1,,3,42.918884,-71.187874,,,,,,,,,,,,,,,,FALSE,,1,1.28,0.355,14.72,0.1,1.05,0.156,8.835,,,0.654,8.577,,,0.278,7.818
27,SonyaCarlson,NHDES,Phillips Pond WL#2,PHILLIPS POND,CT,Phillips Pond WL#2,2014,9,14,,"Clear, breezy, cool",WL2,,3,42.914415,-71.190441,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,1,1.17,0.525,15.58,0.1,0.92,0.055,5.703,,,0.772,7.472,,,0.236,5.219
28,SonyaCarlson,NHDES,Phillips Pond WL#3,PHILLIPS POND,CT,Phillips Pond WL#3,2014,9,14,,"Clear, breezy, cool",WL3,,3,42.922492,-71.188273,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,8,1.26,0.669,15.67,6.5,1.05,0.176,8.216,,,0.851,10.23,,,0.217,6.866
29,SonyaCarlson,NHDES,Phillips Pond SS#1,PHILLIPS POND,CT,Phillips Pond SS#1,2014,9,14,,"Clear, breezy, cool",SS1,,1.5,42.923667,-71.187617,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,4,1.22,0.37,14.73,0.1,0.85,0.057,5.401,,,0.569,7.899,,,0.764,5.157
30,SonyaCarlson,NHDES,Phillips Pond SS#2,PHILLIPS POND,CT,Phillips Pond SS#2,2014,9,14,,"Clear, breezy, cool",SS2,,1.5,42.923667,-71.187617,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,4.5,1.17,0.442,14.91,1,0.91,0.063,5.433,,,0.517,8.803,,,0.217,4.913
31,SonyaCarlson,NHDES,BCHSLSHLSLF,SILVER LAKE,CT,SILVER LAKE SP-LEFT,2014,8,4,,Sunny,Other,Grab,0,42.76075,-71.595639,,,,,,,,,,,,,,,,FALSE,,1218.49,18.95,226.4,465.9,26,0.47,2.199,2.674,,,121.8,76.47,,,0.871,1.737
32,SonyaCarlson,NHDES,BCHSLSHLSRT,SILVER LAKE,CT,SILVER LAKE SP-RIGHT,2014,8,8,,"Sunny, calm, hot",SS1,,1,42.760028,-71.597028,,,,,,,,,,,,,,,,FALSE,,8.5,0.02,0.211,2.9,0.1,0.07,0.017,2.182,,,0.387,0.202,,,0.125,-1.779
33,SonyaCarlson,NHDES,BCHSLSHLSLF,SILVER LAKE,CT,SILVER LAKE SP-LEFT,2014,9,3,,"Clear, calm, hot",Other,Grab,0,42.76075,-71.595639,,,,,,,,,,,,,,,,FALSE,,1715.33,18.76,290.9,475.3,240.11,1.73,18.86,12.88,16998.17,71.37,171.6,96.58,18.5,0.61,8.631,3.795
34,SonyaCarlson,NHDES,DANLFRED,LOWER DANFORTH POND,CT,LOWER DANFORTH POND-DEEP SPOT,2014,8,5,,"Clear, calm, hot",WL1,,3,43.820083,-71.1038,,,,,,,,,,,,,,,,FALSE,,1,0.7,0.301,15.9,1.5,0.5,-0.082,2.215,,,,,,,,
35,SonyaCarlson,NHDES,Lower Danforth WL#2,LOWER DANFORTH POND,CT,Lower Danforth WL#2,2014,8,5,,"Clear, calm, hot",WL2,,3,43.821694,-71.103917,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,1,2.01,1.39,27.36,0.1,0.64,0.167,5.379,,,,,,,,
36,SonyaCarlson,NHDES,Lower Danforth WL#3,LOWER DANFORTH POND,CT,Lower Danforth WL#3,2014,8,5,,"Clear, calm, hot",WL3,,3,43.828889,-71.103694,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,2,0.77,1.047,9.211,1.5,0.61,0.104,3.114,,,,,,,,
37,SonyaCarlson,NHDES,DANLFRED,LOWER DANFORTH POND,CT,LOWER DANFORTH POND-DEEP SPOT,2014,9,30,,"Rainy, calm, cool",WL1,,3,43.820083,-71.1038,,,,,,,,,,,,,,,,FALSE,,2.5,0.59,0.382,19.98,2.5,0.31,-0.11,-0.434,,,,,,,,
38,SonyaCarlson,NHDES,BROOSSD,OSSIPEE LAKE,CT,BROAD BAY-DEEP SPOT,2014,8,5,,"Clear, breezy, hot",WL4,,3,43.804067,-71.101078,,,,,,,,,,,,,,,,FALSE,,1,0.56,0.318,8.166,0.1,0.31,0.105,3.151,,,,,,,,
39,SonyaCarlson,NHDES,LEAOSSD,OSSIPEE LAKE,CT,LEAVITT BAY-DEEP SPOT,2014,8,5,,"Clear, breezy, hot",WL3,,3,43.79682,-71.081038,,,,,,,,,,,,,,,,FALSE,,2,0.59,0.37,5.601,0.1,0.25,-0.04,1.085,,,,,,,,
40,SonyaCarlson,NHDES,OBB01DL,OSSIPEE LAKE,CT,OSSIPEE LAKE-BERRY BAY-1 DEEP SPOT,2014,8,5,,"Clear, breezy, hot",WL2,,3,43.804833,-71.075167,,,,,,,,,,,,,,,,FALSE,,0.1,0.62,0.41,8.591,0.55,0.26,0.037,2.353,,,,,,,,
41,SonyaCarlson,NHDES,OSSOSSD,OSSIPEE LAKE,CT,OSSIPEE LAKE-DEEP SPOT,2014,8,5,,"Clear, breezy, cool",WL1,,3,43.7795,-71.1386,,,,,,,,,,,,,,,,FALSE,,0.55,0.44,0.296,7.615,1.5,0.29,-0.041,0.512,,,,,,,,
42.1,SonyaCarlson,NHDES,BEELTUFD,LOWER BEECH POND,CT,LOWER BEECH POND-DEEP SPOT,2014,8,11,,"Clear, calm",WL1,,3,43.672189,-71.207289,,,,,,,,,,,,,,,,TRUE,Duplicate Order in Data table; missing in Locations; but location same as Locations:Order=54,0.1,0.13,0.066,3.88,2.5,0.13,-0.04,1.912,,,,,,,,
42.2,SonyaCarlson,NHDES,BROOSSD,OSSIPEE LAKE,CT,BROAD BAY-DEEP SPOT,2014,10,1,,"Rainy, breezy, cool",WL4,,3,43.804067,-71.101078,,,,,,,,,,,,,,,,FALSE,,0.55,0.5,0.161,7.276,1,0.46,0.077,0.514,,,,,,,,
43,SonyaCarlson,NHDES,LEAOSSD,OSSIPEE LAKE,CT,LEAVITT BAY-DEEP SPOT,2014,10,1,,"Rainy, breezy, cool",WL3,,3,43.79682,-71.081038,,,,,,,,,,,,,,,,FALSE,,1.5,0.65,0.314,8.075,0.1,0.29,-0.115,-0.486,,,,,,,,
44,SonyaCarlson,NHDES,OBB01DL,OSSIPEE LAKE,CT,OSSIPEE LAKE-BERRY BAY-1 DEEP SPOT,2014,10,1,,"Cloudy, breezy, cool",WL2,,3,43.804833,-71.075167,,,,,,,,,,,,,,,,FALSE,,0.1,0.47,0.253,5.533,0.1,0.26,-0.1,-0.432,,,,,,,,
45,SonyaCarlson,NHDES,OSSOSSD,OSSIPEE LAKE,CT,OSSIPEE LAKE-DEEP SPOT,2014,10,1,,"Cloudy, calm, cool",WL1,,3,43.7795,-71.1386,,,,,,,,,,,,,,,,FALSE,,0.1,0.5,0.262,5.435,3,0.35,-0.106,-0.647,,,,,,,,
46,SonyaCarlson,NHDES,BEASWHBI,BEARCAMP POND,CT,BEARCAMP POND-BIG ISLAND SWIM,2014,8,6,,"Cloudy, breezy, hot",WL2,,3,43.81665,-71.369067,,,,,,,,,,,,,,,,FALSE,,3,1.35,0.193,13.92,0.55,0.83,0.066,5.678,0.1,0.67,0.575,7.027,0.1,0.65,0.375,4.995
47,SonyaCarlson,NHDES,BEASWHD,BEARCAMP POND,CT,BEARCAMP POND-DEEP SPOT,2014,8,6,,"Cloudy, breezy, hot",WL1,,3,43.814583,-71.3689,,,,,,,,,,,,,,,,FALSE,,2.5,1.41,0.302,16.82,1,0.94,0.031,16.82,0.1,0.74,0.569,7.36,0.55,0.71,0.344,5.84
48,SonyaCarlson,NHDES,BEASWHSWIM,BEARCAMP POND,CT,BEARCAMP POND-SWIM AREA,2014,8,6,,"Cloudy, breezy, hot",SS1,,1,43.813617,-71.376558,,,,,,,,,,,,,,,,FALSE,,2.5,0.76,0.252,8.983,0.1,0.56,0.016,4.602,3.5,0.73,0.305,5.033,0.1,0.5,0.123,3.505
49,SonyaCarlson,NHDES,Bear camp WL#3,BEARCAMP POND,CT,Bear camp WL#3,2014,8,6,,"Cloudy, breezy, hot",WL3,,3,43.814835,-71.373625,,,,,,,,,,,,,,,,FALSE,,4.5,0.97,0.314,15.2,0.1,0.73,0.026,4.761,0.1,0.68,0.637,6.268,0.1,0.56,0.224,3.957
50,SonyaCarlson,NHDES,Bear camp SS#2,BEARCAMP POND,CT,Bear camp SS#2,2014,8,6,,"Cloudy, breezy, hot",SS2,,1,43.813147,-71.3712,,,,,,,,,,,,,,,,FALSE,,0.55,0.77,0.238,12.11,0.55,0.67,0.022,4.6,0.1,0.44,0.554,6.445,0.1,0.5,0.262,3.456
51,SonyaCarlson,NHDES,ROCCROD,ROCKYBOUND POND,CT,ROCKYBOUND POND-DEEP SPOT,2014,8,7,,"Cloudy, calm, hot",WL1,,3,43.446417,-72.145056,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
52,SonyaCarlson,NHDES,Rockybound SS#1,ROCKYBOUND POND,CT,,2014,8,7,,"Cloudy, calm, hot",SS1,,1,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
53,SonyaCarlson,NHDES,Rockybound SS#2,ROCKYBOUND POND,CT,,2014,8,7,,"Cloudy, calm, hot",SS2,,1,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
54,SonyaCarlson,NHDES,BEELTUFD,LOWER BEECH POND,CT,LOWER BEECH POND-DEEP SPOT,2014,8,11,,"Clear, calm",WL1,,3,43.672189,-71.207289,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,0.1,0,0.328,0.037,0.1,0,0.212,-1.033
55,SonyaCarlson,NHDES,Lower Beech Inlet SS#1,LOWER BEECH POND,CT,Lower Beech Inlet SS#1,2014,8,11,,"Clear, calm",SS1,,1,43.677122,-71.205826,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,0.1,0.1,0.085,2.826,1,0.11,-0.01,1.27,0.1,0,0.362,-0.097,1,0,0.248,-0.95
56,SonyaCarlson,NHDES,Lower Beech Outlet SS#2,LOWER BEECH POND,CT,Lower Beech Outlet SS#2,2014,8,11,,"Clear, calm",SS2,,1,43.663277,-71.205311,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,0.55,0.22,0.119,3.359,0.1,0.14,-0.029,2.053,7,0,0.795,0.919,2.5,0,0.149,-0.972
57,SonyaCarlson,NHDES,Gardner Lake SS#1,GARDNER LAKE,CT,,2014,8,11,,"Clear, calm, warm",SS1,,1,44.1638,-72.0106,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
58,SonyaCarlson,NHDES,Gardner Lake SS#2,GARDNER LAKE,CT,,2014,8,11,,"Clear, calm, warm",SS2,,1,44.16327,-72.007627,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
59,SonyaCarlson,NHDES,GARBATD,GARDNER LAKE,CT,GARDNER LAKE-DEEP SPOT,2014,8,11,,"Clear, calm, warm",WL1,,3,44.1634,-72.009,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
60,SonyaCarlson,NHDES,SUNLNWLD,LITTLE SUNAPEE LAKE,CT,LITTLE SUNAPEE LAKE-DEEP SPOT,2014,8,12,,"Clear, breezy, warm",WL1,,3,43.433083,-72.0118,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
61,SonyaCarlson,NHDES,Little Sunapee SS#1,LITTLE SUNAPEE LAKE,CT,,2014,8,12,,"Clear, breezy, warm",SS1,,1,43.435067,-72.019467,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
62,SonyaCarlson,NHDES,Little Sunapee WL#2,LITTLE SUNAPEE LAKE,CT,,2014,8,12,,"Clear, breezy, warm",WL2,,3,43.435,-72.014417,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
63,SonyaCarlson,NHDES,Little Sunapee WL#3,LITTLE SUNAPEE LAKE,CT,,2014,8,12,,"Clear, breezy, warm",WL3,,3,43.4319,-72.022417,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
64,SonyaCarlson,NHDES,SILHARD,SILVER LAKE,CT,SILVER LAKE- DEEP SPOT,2014,8,14,,"Cloudy, breezy, cool",WL1,,3,42.961194,-72.14,,,,,,,,,,,,,,,,FALSE,,3.5,0,0.002,1.066,1.5,0,-0.082,-1.383,3,0.2,0.117,-0.801,3.5,0.11,-0.27,-1.675
65,SonyaCarlson,NHDES,SILHARO,SILVER LAKE,CT,SILVER LAKE-OUTLET IN STREAM,2014,8,14,,"Cloudy, breezy, cool",SS2,,1,42.949389,-72.1328,,,,,,,,,,,,,,,,FALSE,,6,0.2,0.039,3.413,1.5,0.08,-0.099,-0.494,3,0.28,0.197,0.118,5.5,0.28,0.034,-1.538
66,SonyaCarlson,NHDES,SILHARSB1,SILVER LAKE,CT,SILVER LAKE-SANDY BCH INLET 1,2014,8,14,,"Cloudy, breezy, cool",SS1,,1,42.972111,-72.138703,,,,,,,,,,,,,,,,FALSE,,6,0.01,0.7,1.581,5.5,0,-0.038,-1.17,6,0.14,0.056,-1.313,0.1,0.14,-0.067,-2.857
67,SonyaCarlson,NHDES,Silver Lake WL#2,SILVER LAKE,CT,Silver Lake WL#2,2014,8,14,,"Cloudy, breezy, cool",WL2,,3,42.971089,-72.139535,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,2.5,0,0.038,0.418,2.5,0,-0.048,0.418,0.1,0.17,0.127,-2.385,1,0.14,-0.119,-3.461
