Order,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,Latitude,Longitude,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,Phycocyanin_mg/l_Beagle_Fresh_Unfiltered,Chlorophyll_mg/l_Beagle_Fresh_Unfiltered,Phycocyanin_RFU_Turner_Fresh_Unfiltered,Chlorophyll_RFU_Turner_Fresh_Unfiltered,Phycocyanin_mg/l_Beagle_Fresh_Filtered,Chlorophyll_mg/l_Beagle_Fresh_Filtered,Phycocyanin_RFU_Turner_Fresh_Filtered,Chlorophyll_RFU_Turner_Fresh_Filtered,Phycocyanin_mg/l_Beagle_Frozen_Unfiltered,Chlorophyll_mg/l_Beagle_Frozen_Unfiltered,Phycocyanin_RFU_Turner_Frozen_Unfiltered,Chlorophyll_RFU_Turner_Frozen_Unfiltered,Phycocyanin_mg/l_Beagle_Frozen_Filtered,Chlorophyll_mg/l_Beagle_Frozen_Filtered,Phycocyanin_RFU_Turner_Frozen_Filtered,Chlorophyll_RFU_Turner_Frozen_Filtered
68,SonyaCarlson,NHDES,Silver Lake WL#3,SILVER LAKE,CT,Silver Lake WL#3,2014,8,14,,"Cloudy, breezy, cool",WL3,,3,42.951554,-72.13563,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,5,0,-0.024,0.556,7,0,-0.018,-1.549,0.1,0.14,0.07,-2.461,0.1,0.11,-0.08,-3.151
69,SonyaCarlson,NHDES,ARMPIED,ARMINGTON LAKE,CT,ARMINGTON LAKE-DEEP SPOT,2014,8,14,,,WL1,,3,43.958389,-71.9692,,,,,,,,,,,,,,,,FALSE,,4.5,0.37,0.215,13.2,2.5,0.17,0.027,2.474,3.5,0,0.485,1.584,2.5,0.02,0.152,-0.609
70,SonyaCarlson,NHDES,TARPIED,TARLETON LAKE,CT,TARLETON LAKE-DEEP SPOT,2014,8,14,,"Cloudy, calm, cool",WL1,,7,43.977,-71.963278,,,,,,,,,,,,,,,,FALSE,,27,0.23,0.205,6.315,5,0.23,0.018,0.312,3.5,0.08,0.477,1.443,3,0.08,0.226,-0.231
71,SonyaCarlson,NHDES,CANCAND,CANAAN STREET LAKE,CT,CANAAN STREET LAKE-DEEP SPOT,2014,8,14,,"Cloudy, windy, cool",WL1,,3,43.664194,-72.0339,,,,,,,,,,,,,,,,FALSE,,6,0.38,0.215,7.32,5,0.23,0.006,0.356,1,0,0.404,0.354,3.5,0.05,0.208,-1.143
72,SonyaCarlson,NHDES,Canaan St. Lake WL#2,CANAAN STREET LAKE,CT,Canaan St. Lake WL#2,2014,8,14,,"Cloudy, windy, cool",WL2,,3,43.667996,-72.035809,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,8.5,0.65,0.227,17.81,7,0.16,-0.006,0.614,3,0.04,0.269,0.153,1,0,0.137,-1.442
73,SonyaCarlson,NHDES,Eastman Pond WL#1,EASTMAN POND,CT,,2014,8,18,,"Cloudy, breezy, cool",WL1,,3,43.518283,-72.1151,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
74,SonyaCarlson,NHDES,Eastman Pond WL#2,EASTMAN POND,CT,,2014,8,18,,"Cloudy, breezy, cool",WL2,,3,43.5318,-72.11845,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
75,SonyaCarlson,NHDES,EASGTM8,EASTMAN POND,CT,EASTMAN POND-NORTH COVE BEACH,2014,8,18,,"Cloudy, breezy, cool",SS1,,1,43.5354,-72.1125,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
76,SonyaCarlson,NHDES,EASGTMWCB,EASTMAN POND,CT,EASTMAN POND-WEST COVE B BEACH,2014,8,18,,"Cloudy, breezy, cool",SS2,,1,43.526308,-72.12274,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
77,SonyaCarlson,NHDES,AYEBARD,AYERS POND,CT,AYERS POND-DEEP SPOT,2014,8,18,,"Clear, breezy, cool",WL1,,3,43.256,-71.0433,,,,,,,,,,,,,,,,FALSE,,6.5,0.32,0.259,8.056,5.5,0.28,0.017,-0.095,3,0.32,0.334,-0.507,0.1,0.28,0.193,-1.539
78,SonyaCarlson,NHDES,BCHFIRBRRLF,AYERS POND,CT,CAMP FIRESIDE-LEFT,2014,8,18,,"Clear, breezy, cool",SS1,,1,43.261517,-71.033837,,,,,,,,,,,,,,,,FALSE,,4,0.34,0.128,5.59,0.55,0.19,0.008,4.235,2,0.31,0.251,-0.405,0.1,0.25,0.095,-1.878
79,SonyaCarlson,NHDES,Ayers Lake WL#2,AYERS POND,CT,Ayers Lake WL#2,2014,8,18,,"Clear, breezy, cool",WL2,,3,43.253455,-71.048412,,,,,,,,,,,,,,,,FALSE,,4,0.35,0.307,7.229,6.5,0.31,0.019,1.292,3,0,0.382,-0.263,0.1,0,-0.015,-2.055
80,SonyaCarlson,NHDES,Ayers Lake WL#3,AYERS POND,CT,Ayers Lake WL#3,2014,8,18,,"Clear, breezy, cool",WL3,,3,43.258643,-71.038456,,,,,,,,,,,,,,,,FALSE,,5.5,0.47,0.185,6.204,3.5,0.07,-0.068,-0.744,3,0.01,0.262,-0.408,2.5,0,-0.01,-1.741
81,SonyaCarlson,NHDES,Ayers Lake SS#2,AYERS POND,CT,,2014,8,18,,"Clear, breezy, cool",SS2,,1,43.252955,-71.040945,,,,,,,,,,,,,,,,FALSE,,3.5,0.43,0.301,8.309,7.5,0.23,-0.05,0.346,2.5,0,0.289,0.135,1,0,-0.036,-1.816
82,SonyaCarlson,NHDES,ISLDERD,BIG ISLAND POND,CT,BIG ISLAND POND-DEEP SPOT,2014,8,18,,,WL1,,3,42.866,-71.211389,,,,,,,,,,,,,,,,FALSE,,1,0.46,0.163,7.006,1.5,0.28,0.008,0.878,1.5,0.07,0.182,1.271,2.5,0.01,0.003,-1.006
83,SonyaCarlson,NHDES,ISLDERPC,BIG ISLAND POND,CT,BIG ISLAND POND-PERCH (CAMP) COVE,2014,8,18,,,WL2,,3,42.880583,-71.197175,,,,,,,,,,,,,,,,TRUE,Order 85 and 86 reversed,1,0.68,0.243,10.86,2,0.62,-0.018,2.364,2.5,0.19,0.338,1.555,0.1,0.04,0.036,-0.599
84,SonyaCarlson,NHDES,ISLDERJC,BIG ISLAND POND,CT,BIG ISLAND POND-JOHNSON COVE,2014,8,18,,,WL3,,3,42.859475,-71.203786,,,,,,,,,,,,,,,,TRUE,Order 85 and 86 reversed,4,0.61,0.091,8.962,0.1,0.29,0.022,0.621,0.1,0.13,0.264,1.592,0.1,0.08,0.036,0.232
85,SonyaCarlson,NHDES,Lees Pond WL#1,LEES POND,CT,Lees Pond WL#1,2014,8,18,,"Clear, breezy, cool",WL1,,3,43.7380667,-71.3964667,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,5,1.16,0.391,19.31,1,0.98,0.105,7.348,0.1,0.77,0.189,9.117,0.1,0.79,0.402,0.107
86,SonyaCarlson,NHDES,Lees Pond WL#2,LEES POND,CT,Lees Pond WL#2,2014,8,18,,"Clear, breezy, cool",WL2,,3,43.7386667,-71.3956667,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,0.55,1.43,0.305,22.79,0.1,0.89,0.022,4.652,1,0.65,0.159,0.159,2,0.61,-0.024,4.297
87,SonyaCarlson,NHDES,Lees Pond WL#3,LEES POND,CT,Lees Pond WL#3,2014,8,18,,"Clear, breezy, cool",WL3,,3,43.73895,-71.39975,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,0.55,1.11,0.534,15.82,2.5,1.04,0.105,7.112,1,0.74,0.217,5.808,0.1,0.67,-0.004,5.067
88,SonyaCarlson,NHDES,Lees Pond SS#1,LEES POND,CT,Lees Pond SS#1,2014,8,18,,"Clear, breezy, cool",SS1,,1,43.7366833,?-71.4010500,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,0.1,1.11,0.193,18.56,0.55,1.01,0.092,6.319,1.5,0.67,0.19,6.704,1,0.7,0.085,5.538
89,SonyaCarlson,NHDES,Lees Pond SS#2,LEES POND,CT,Lees Pond SS#2,2014,8,18,,"Clear, breezy, cool",SS2,,1,43.7371333,-71.3943667,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,2,1.62,0.364,36.69,1.5,1.13,0.114,5.726,0.1,0.64,0.328,7.195,2,0.56,-0.038,4.522
90,SonyaCarlson,NHDES,Mascoma Lake- Dalton,MASCOMA LAKE,CT,Mascoma Lake- Dalton,2014,8,19,,"Clear, calm, cool",WL3,,3,43.608667,-72.123167,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,,,,,,,,,,,,,,,,
91,SonyaCarlson,NHDES,Mascoma Lake- Dam End,MASCOMA LAKE,CT,Mascoma Lake- Dam End,2014,8,19,,"Clear, calm, cool",WL2,,3,43.648167,-72.178533,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,,,,,,,,,,,,,,,,
92,SonyaCarlson,NHDES,Mascoma Lake- Dartmouth Sail Club,MASCOMA LAKE,CT,Mascoma Lake- Dartmouth Sail Club,2014,8,19,,"Clear, calm, cool",SS2,,1,43.639417,-72.134333,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,,,,,,,,,,,,,,,,
93,SonyaCarlson,NHDES,Mascoma Lake- Shakoma,MASCOMA LAKE,CT,Mascoma Lake- Shakoma,2014,8,19,,"Clear, calm, cool",SS1,,1,43.631433,-72.157883,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,,,,,,,,,,,,,,,,
94,SonyaCarlson,NHDES,MASENF1D,MASCOMA LAKE,CT,MASCOMA LAKE-STATION 1 DEEP SPOT,2014,8,19,,"Clear, calm, cool",WL1,,3,43.627889,-72.1503,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
95,SonyaCarlson,NHDES,THOJAFD,THORNDIKE POND,CT,THORNDIKE POND-DEEP SPOT,2014,8,20,,"Cloudy, calm, hot",WL2,,3,42.859778,-72.0553,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
96,SonyaCarlson,NHDES,THOJAFNW,THORNDIKE POND,CT,THORNDIKE POND-NORTH WEST INLET,2014,8,20,,"Cloudy, calm, hot",SS2,,1,42.865583,-72.0573,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
97,SonyaCarlson,NHDES,THOJAFSW,THORNDIKE POND,CT,THORNDIKE POND-SOUTH WEST INLET,2014,8,20,,"Cloudy, calm, hot",SS1,,1,42.8504,-72.0597,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
98,SonyaCarlson,NHDES,Thorndike Pond WL#1,THORNDIKE POND,CT,Thorndike Pond WL#1,2014,8,20,,"Cloudy, calm, hot",WL1,,3,42.86461,-72.055078,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,,,,,,,,,,,,,,,,
99,SonyaCarlson,NHDES,Thorndike Pond WL#3,THORNDIKE POND,CT,Thorndike Pond WL#3,2014,8,20,,"Cloudy, calm, hot",WL3,,3,42.850453,-72.056494,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,,,,,,,,,,,,,,,,
100,SonyaCarlson,NHDES,WICMERD,WICWAS,CT,WICWAS LAKE-DEEP SPOT,2014,8,24,,"Clear, calm, hot",WL1,,3,43.620083,-71.5519,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
101,SonyaCarlson,NHDES,WICMEREC,WICWAS,CT,WICWAS LAKE-EAST COVE,2014,8,24,,"Clear, calm, hot",WL2,,3,43.609694,-71.5485,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
102,SonyaCarlson,NHDES,WICMERLR,WICWAS,CT,WICWAS LAKE-LAUNCH RAMP,2014,8,24,,"Clear, calm, hot",SS1,,1,43.604747,-71.551283,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
103,SonyaCarlson,NHDES,WICMER2,WICWAS,CT,WICWAS LAKE-WEST COVE,2014,8,24,,"Clear, calm, hot",WL3,,3,43.609778,-71.5525,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
104,SonyaCarlson,NHDES,WICMERD,WICWAS,CT,WICWAS LAKE-DEEP SPOT,2014,9,28,,"Cloudy, calm, cool",WL1,,3,43.620083,-71.5519,,,,,,,,,,,,,,,,FALSE,,0.1,1.25,0.139,15.83,0.55,0.37,-0.039,0.51,,,,,,,,
105,SonyaCarlson,NHDES,WICMEREC,WICWAS,CT,WICWAS LAKE-EAST COVE,2014,9,28,,"Cloudy, calm, cool",WL2,,3,43.609694,-71.5485,,,,,,,,,,,,,,,,FALSE,,4.5,0.79,0.066,21.89,0.1,0.34,-0.071,0.075,,,,,,,,
106,SonyaCarlson,NHDES,WICMERLR,WICWAS,CT,WICWAS LAKE-LAUNCH RAMP,2014,9,28,,"Cloudy, calm, cool",SS1,,1,43.604747,-71.551283,,,,,,,,,,,,,,,,FALSE,,2.5,0.5,0.264,5.37,1,0.37,-0.035,0.905,,,,,,,,
107,SonyaCarlson,NHDES,WICMER2,WICWAS,CT,WICWAS LAKE-WEST COVE,2014,9,28,,"Cloudy, calm, cool",WL3,,3,43.609778,-71.5525,,,,,,,,,,,,,,,,FALSE,,2,0.7,0.61,11.11,1.5,0.32,-0.077,0.05,,,,,,,,
108,SonyaCarlson,NHDES,Wicwas Lake SS#2,WICWAS,CT,,2014,9,28,,"Cloudy, calm, cool",SS2,,0.5,,,,,,,,,,,,,,,,,,FALSE,,4,0.47,0.584,5.835,6,0.46,0.096,0.59,,,,,,,,
109,SonyaCarlson,NHDES,SKAHARD,LAKE SKATUTAKEE,CT,LAKE SKATUTAKEE-DEEP SPOT,2014,8,24,,"Clear, breezy, warm",WL1,,3,42.936528,-72.070194,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
110,SonyaCarlson,NHDES,SKAHARSP,LAKE SKATUTAKEE,CT,LAKE SKATUTAKEE-SPRING,2014,8,24,,"Clear, breezy, warm",SS1,,1,42.934898,-72.076798,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
111,SonyaCarlson,NHDES,DUBDUBDLC,DUBLIN POND,CT,DUBLIN POND-DUBLIN LAKE CLUB,2014,8,25,,,Other,Grab,0,42.904269,-72.072383,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
112,SonyaCarlson,NHDES,Sand Pond SS#1,SAND POND,CT,,2014,8,26,,"Clear, breezy, cool",SS1,,1,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
113,SonyaCarlson,NHDES,Sand Pond SS#2,SAND POND,CT,,2014,8,26,,"Clear, breezy, cool",SS2,,1,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
114,SonyaCarlson,NHDES,Sand Pond WL#2,SAND POND,CT,,2014,8,26,,"Clear, breezy, cool",WL2,,3,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
115,SonyaCarlson,NHDES,SANMLWD,SAND POND,CT,,2014,8,26,,"Clear, breezy, cool",WL1,,3,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
116,SonyaCarlson,NHDES,CLEHOPD,CLEMENT POND,CT,CLEMENT POND-DEEP SPOT,2014,8,26,,,WL1,,3,43.2165,-71.766389,,,,,,,,,,,,,,,,FALSE,,2,0.43,0.192,7.808,1,0.29,0.055,0.425,,,,,,,,
117,SonyaCarlson,NHDES,Clement Pond WL#2,CLEMENT POND,CT,Clement Pond WL#2,2014,8,26,,,WL2,,3,43.215482,-71.76939,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,1,0.46,0.189,8.391,5,0.26,0.071,0.837,,,,,,,,
118,SonyaCarlson,NHDES,Clement Pond WL#3,CLEMENT POND,CT,Clement Pond WL#3,2014,8,26,,,WL3,,3,43.220439,-71.767008,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,0.1,0.35,0.218,5.338,0.1,0.23,0.511,0.991,,,,,,,,
119,SonyaCarlson,NHDES,SEBBEDB,SEBBINS POND,CT,SEBBINS POND-BACK PD INLET,2014,8,27,,"Cloudy, calm, hot",WL2,,3,42.928583,-71.4805,,,,,,,,,,,,,,,,FALSE,,8.5,3.26,1.955,136.3,1.5,1.89,0.446,13.86,16.5,2.02,3.009,25.57,0.1,1.7,0.404,14.82
120,SonyaCarlson,NHDES,SEBBEDD,SEBBINS POND,CT,SEBBINS POND-DEEP SPOT,2014,8,27,,"Cloudy, calm, hot",WL1,,3,42.928083,-71.478278,,,,,,,,,,,,,,,,FALSE,,2.5,0.53,0.591,6.435,0.55,0.31,0.114,1.406,1,0.52,0.853,5.989,1.5,0.32,0.183,0.136
121,SonyaCarlson,NHDES,SEBBEDO,SEBBINS POND,CT,SEBBINS POND-OUTLET,2014,8,27,,"Cloudy, calm, hot",SS1,,1,42.925583,-71.478083,,,,,,,,,,,,,,,,FALSE,,0.1,0.46,0.632,16.28,0.1,0.26,0.21,0.905,,,,,,,,
122,SonyaCarlson,NHDES,SEBBED2,SEBBINS POND,CT,SEBBINS POND-SITE 2,2014,8,27,,"Cloudy, calm, hot",SS2,,1,42.928328,-71.476917,,,,,,,,,,,,,,,,FALSE,,4.5,0.53,0.254,23.77,0.1,0.25,0.238,1.767,,,,,,,,
123,SonyaCarlson,NHDES,Sebbins Pond WL#3,SEBBINS POND,CT,Sebbins Pond WL#3,2014,8,27,,"Cloudy, calm, hot",WL3,,3,,,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,5.5,1.22,1.133,51.37,0.1,0.29,0.104,1.052,1.5,0.5,1.121,25.98,1,0.23,0.138,1.157
124,SonyaCarlson,NHDES,GRASTDD,GRANITE LAKE,CT,GRANITE LAKE-DEEP SPOT,2014,9,7,,"Clear, breezy, warm",WL1,,3,43.020972,-72.141361,,,,,,,,,,,,,,,,FALSE,,4.5,0.11,0.205,1.916,2.5,0.05,0.063,0.984,0.1,0,0.287,-1.577,0,0,0.0149,-2.193
125,SonyaCarlson,NHDES,Granite Lake WL#2,GRANITE LAKE,CT,Granite Lake WL#2,2014,9,7,,"Clear, breezy, warm",WL2,,3,43.02371,-72.144856,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,1.5,0.05,0.188,2.017,3.5,0.01,0.026,0.059,0.1,0,0.238,-1.061,0.1,0,0.065,-2.264
126,SonyaCarlson,NHDES,Granite Lake WL#3,GRANITE LAKE,CT,Granite Lake WL#3,2014,9,7,,"Clear, breezy, warm",WL3,,3,43.023977,-72.135286,,,,,,,,,,,,,,,,FALSE,SiteID matches Station Name,4,0.05,0.123,0.764,6.5,0.05,0.019,0.153,2,0,0.244,-1.622,3,0,0.193,-2.163
127,SonyaCarlson,NHDES,Lake Kanesatka- Beach,LAKE KANESATKA,CT,,2014,9,8,,"Clear, calm, warm",Other,Grab,0,43.727584,-71.45834,,,,,,,,,,,,,,,,FALSE,,196.23,3.5,31.24,70.16,17.5,0.34,1.257,3.571,842.43,7.15,77.83,76,0.1,0.01,0.568,0.32
128,SonyaCarlson,NHDES,Lake Kanesatka- Dock,LAKE KANESATKA,CT,,2014,9,8,,"Clear, calm, warm",Other,Grab,0,43.727553,-71.458361,,,,,,,,,,,,,,,,FALSE,,7.5,0.25,0.177,7.609,2,0.19,0.018,1.103,0.1,0,0.291,-0.811,0.1,0,0.123,-1.593
129,SonyaCarlson,NHDES,NUBNELD,NUBANUSIT LAKE,CT,NUBANUSIT LAKE-DEEP SPOT,2014,9,10,,"Cloudy, calm, cool",WL1,,3,42.986258,-72.057692,,,,,,,,,,,,,,,,FALSE,,2.5,0.07,0.092,0.412,2,0,-0.061,-2.01,0.55,0.25,0.247,-1.522,1.5,0.13,0.121,-2.929
130,SonyaCarlson,NHDES,NUBNELH,NUBANUSIT LAKE,CT,NUBANUSIT LAKE-HANCOCK LANDING,2014,9,10,,"Cloudy, calm, cool",SS1,,1,42.996,-72.0467,,,,,,,,,,,,,,,,FALSE,,6.5,0.34,0.139,0.28,2.5,0,-0.061,-2.028,1.5,0.2,0.272,-1.393,1.5,0.13,-0.045,-3.097
131,SonyaCarlson,NHDES,NUBNELO,NUBANUSIT LAKE,CT,NUBANUSIT LAKE-OUTLET IN STREAM,2014,9,10,,"Cloudy, calm, cool",SS2,,1,42.973889,-72.086,,,,,,,,,,,,,,,,FALSE,,5,0.1,0.102,0.797,3,0,-0.07,-1.98,1.5,0.2,0.04,-2.051,4,0.16,-0.011,-3.065
132,SonyaCarlson,NHDES,HUNSAND,HUNKINS POND,CT,HUNKINS POND-DEEP SPOT,2014,9,12,,"Clear, windy, cool",WL1,,3,43.504194,-71.5595,,,,,,,,,,,,,,,,FALSE,,31,1.13,4.13,16.93,44.5,1.16,5.072,14.74,,,,,,,,
133,SonyaCarlson,NHDES,HUNSANN,HUNKINS POND,CT,HUNKINS POND-NORTH END,2014,9,12,,"Clear, windy, cool",SS1,,1,43.504181,-71.561542,,,,,,,,,,,,,,,,FALSE,,35,1.1,4.489,17.7,7,0.37,0.296,1.801,,,,,,,,
134,SonyaCarlson,NHDES,SHOSDN-GEN,SHOWELL POND,CT,SHOWELL POND-GENERIC,2014,9,25,,"Overcast, calm, cool",Other,Grab,0,42.908,-71.176194,,,,,,,,,,,,,,,,FALSE,,25,1.55,3.323,27.81,0.1,0.7,-0.014,3.662,,,,,,,,
135,SonyaCarlson,NHDES,TOWCAN-GEN,TOWER HILL POND,CT,TOWER HILL POND-GENERIC,2014,9,29,,,Other,Grab,0,43.04,-71.371778,,,,,,,,,,,,,,,,TRUE,Locations:SiteID=TOWCND-GEN; Check spelling,1791.65,13.83,200.4,182.3,6,0.73,,,,,,,,,,
136,SonyaCarlson,NHDES,BCHLEGFRKLF,WEBSTER LAKE,CT,WEBSTER LAKE LAGACE TB-LEFT,2014,9,30,,"Overcast, cool, breezy",Other,Grab,0,43.458833,-71.679558,,,,,,,,,,,,,,,,FALSE,,93,2.28,38.96,66.12,13,0.46,1.052,3.782,1240.93,8.62,107.6,67.04,6.5,0.5,0.273,-0.199
137,SonyaCarlson,NHDES,SUNSUN1D,SUNAPEE LAKE,CT,SUNAPEE LAKE-200 STN 1 DEEP SPOT,2014,9,15,,"partly cloudy, cool, breezy",WL1,,3,43.406083,-72.0426,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
138,SonyaCarlson,NHDES,SUNSUN2D,SUNAPEE LAKE,CT,SUNAPEE LAKE-210 STN 2 DEEP SPOT,2014,9,15,,"partly cloudy, cool, breezy",WL2,,3,43.3836,-72.0627,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
139,SonyaCarlson,NHDES,SUNSUN220D,SUNAPEE LAKE,CT,SUNAPEE LAKE-220 DEEP SPOT,2014,9,15,,"partly cloudy, cool, breezy",WL3,,3,43.361911,-72.055997,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
140,SonyaCarlson,NHDES,SUNSUN3D,SUNAPEE LAKE,CT,SUNAPEE LAKE-230 STN 3 DEEP SPOT,2014,9,15,,"partly cloudy, cool, breezy",WL4,,3,43.342778,-72.0494,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
141,SonyaCarlson,NHDES,BCHLEGFRKLF,WEBSTER LAKE,CT,WEBSTER LAKE LAGACE TB-LEFT,2014,6,30,,,Other,Grab,0,43.458833,-71.679558,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,347.31,10.38,47.75,137.4,34.5,1.13,3.444,4.881
142,SonyaCarlson,NHDES,BCHLEGFRKLF,WEBSTER LAKE,CT,WEBSTER LAKE LAGACE TB-LEFT,2014,7,7,,,Other,Grab,0,43.458833,-71.679558,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,0.1,0.26,0.001,-1.376,0.1,0.28,-0.006,-3.523
143,SonyaCarlson,NHDES,BCHLEGFRKLF,WEBSTER LAKE,CT,WEBSTER LAKE LAGACE TB-LEFT,2014,7,7,,,Other,Grab,0,43.458833,-71.679558,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,0.1,0.31,-0.01,-1.485,0.1,0.28,0.016,-1.62
